Scientific Name,English Name,Family,Feeding Path,Feeding Path Level,Calcium (mg/100g),Calcium L95,Calcium U95,Iron (mg/100g),Iron L95,Iron U95,Total Omega-3 PUFA (g/100g),Omega3 L95,Omega3 U95,Protein (g/100g),Protein L95,Protein U95,Selenium (μg/100g),Selenium L95,Selenium U95,Vitamin A (μg/100g),VitaminA L95,VitaminA U95,Zinc (mg/100g),Zinc L95,Zinc U95
Ablennes hians,Flat needlefish,Belonidae,pelagic,species,"40.3","10.1","162.5","0.555","0.225","1.432","0.168","0.064","0.510","18.8","16.7","20.9","13.3","5.2","39.4","36.3","8.3","189.8","0.516","0.290","0.962"
Abudefduf saxatilis,Sergeant-major,Pomacentridae,benthic,species,"40.4","17.7","89.9","0.575","0.306","1.039","0.169","0.094","0.303","19.5","18.3","20.6","11","5","24","51.7","13.4","199.9","0.773","0.478","1.202"
Acanthistius brasilianus,Argentine seabass,Anthiadidae,pelagic,species,"41.5","15.4","85.6","0.644","0.347","1.238","0.38","0.22","0.65","17.1","14.6","20.1","27.3","14.4","51.5","20.5","7.1","69.3","0.812","0.565","1.212"
Acanthocybium solandri,Wahoo,Scombridae,pelagic,species,"34.8","17.2","70.3","1.34","0.70","2.53","0.183","0.092","0.379","21.8","20.5","23.1","28","13","64","6.92","2.08","25.10","0.423","0.273","0.649"
Acanthodoras spinosissimus,Talking catfish,Doradidae,benthic,genus,"283","148","619","1.91","1.12","3.18","0.354","0.145","0.878","16.6","15.6","17.7","57","24","165","50.4","19.7","122.7","2.09","1.42","3.01"
Acanthostracion polygonium,Honeycomb cowfish,Ostraciidae,benthic,species,"40.5","15.5","83.6","0.66","0.35","1.46","0.0925","null","null","17.8","15.5","20.1","51.9","24.9","120.6","27.8","6.2","118.1","1.3","0.8","2.0"
Acanthostracion quadricornis,Scrawled cowfish,Ostraciidae,benthic,species,"22.3","9.0","63.2","0.615","0.308","1.471","0.153","0.077","0.296","18.8","16.5","21.0","24","10","55","18.4","4.2","81.7","0.73","0.46","1.17"
Acanthurus bahianus,Barber surgeonfish,Acanthuridae,benthic,genus,"419","167","1,788","1.56","0.51","4.22","0.176","0.065","0.472","17.3","15.8","18.8","7.92","2.10","38.26","271","52","1,310","8.15","2.49","17.42"
Acanthurus chirurgus,Doctorfish,Acanthuridae,benthic,species,"39.8","15.6","133.0","0.822","0.286","2.182","0.146","0.063","0.347","19.1","17.8","20.4","8.83","2.71","27.87","17.5","3.7","82.5","1.78","0.55","3.61"
Acanthurus coeruleus,Blue tang surgeonfish,Acanthuridae,benthic,species,"53.4","22.4","151.6","0.729","0.281","1.754","0.102","0.047","0.213","18.3","17.0","19.5","19.2","6.8","55.4","36.2","8.8","136.0","2.59","0.82","4.74"
Acanthurus monroviae,Monrovia doctorfish,Acanthuridae,pelagic,species,"111","44","405","1.13","0.44","3.00","0.208","0.090","0.472","17.7","16.7","18.8","36.1","11.5","135.0","10.3","3.2","30.8","2.57","0.84","5.10"
Acanthurus tractus,Ocean surgeonfish,Acanthuridae,benthic,species,"68.2","28.9","210.9","0.941","0.346","2.417","0.104","0.046","0.227","18.4","17.1","19.6","25.2","8.4","78.0","20.9","4.8","91.9","2.8","0.9","5.2"
Achirus lineatus,Lined sole,Achiridae,benthic,species,"53.8","21.4","115.3","0.512","0.236","0.922","0.0771","null","null","18.5","17.1","20.0","25.4","13.0","52.9","59.2","15.1","241.9","1.22","0.79","1.79"
Acyrtops beryllinus,Emerald clingfish,Gobiesocidae,benthic,species,"391","177","1,089","1.68","0.74","3.44","0.147","0.059","0.398","17.3","15.8","18.8","40.6","12.4","124.3","126","27","550","4.15","2.27","6.82"
Aetobatus narinari,Whitespotted eagle ray,Aetobatidae,benthic,species,"9.92","1.89","44.45","0.495","0.123","1.361","0.253","0.077","0.713","22","17","27","25.2","7.7","73.8","8.16","2.83","22.84","0.526","0.255","0.991"
Ageneiosus inermis,Manduba,Auchenipteridae,pelagic,species,"109","55","259","1.47","0.80","2.90","0.247","0.100","0.606","17.7","15.4","19.8","36.8","13.5","100.3","31.7","10.5","99.2","1.42","0.91","2.14"
Ageneiosus militaris,,Auchenipteridae,benthic,genus,"101","50","291","1.65","0.86","3.09","0.396","0.158","1.005","17.9","15.7","20.1","13.8","4.9","35.6","33.2","10.6","108.8","1.32","0.85","2.07"
Agonus cataphractus,Hooknose,Agonidae,benthic,species,"66.7","36.3","143.8","0.486","0.257","0.865","1.1","0.5","3.1","17.4","16.0","18.8","14.9","7.8","33.6","18.4","5.7","55.2","0.681","0.485","0.986"
Ahlia egmontis,Key worm eel,Ophichthidae,benthic,family,"56","32","104","0.597","0.363","1.163","0.117","0.054","0.338","18.7","16.5","21.3","38.2","21.5","76.5","62","18","189","1.11","0.79","1.54"
Albula nemoptera,Threadfin bonefish,Albulidae,benthic,genus,"136","65","219","1.14","0.75","1.74","0.299","0.172","0.511","18.3","17.3","19.2","54.4","29.5","97.4","15.6","7.0","32.8","1.16","0.91","1.53"
Albula vulpes,Bonefish,Albulidae,benthic,species,"16.1","8.5","47.7","0.503","0.283","0.890","0.258","0.146","0.453","19.8","18.7","20.9","21","11","40","23.8","7.7","79.0","0.641","0.446","0.942"
Alectis ciliaris,African pompano,Carangidae,pelagic,species,"16.6","6.6","29.7","0.599","0.316","1.256","0.15","0.08","0.29","20","19","21","24.9","9.7","53.5","22.8","5.7","87.4","0.403","0.255","0.614"
Alepisaurus ferox,Long snouted lancetfish,Alepisauridae,benthic,species,"13","4","37","0.292","0.097","0.916","0.0817","null","null","16.3","13.1","18.8","33.6","10.2","94.9","7.96","0.91","66.44","0.284","0.147","0.569"
Allocyttus verrucosus,Warty dory,Oreosomatidae,pelagic,species,"8.71","2.32","45.18","0.301","0.083","1.049","0.176","0.050","0.601","17.9","15.0","20.9","10.8","2.2","49.9","45.9","3.9","565.9","0.473","0.182","1.247"
Allothunnus fallai,Slender tuna,Scombridae,pelagic,species,"47.8","25.9","89.1","1.57","0.92","2.77","0.3","0.2","0.5","21.7","20.5","22.9","19.6","10.4","39.2","13.3","4.8","40.7","0.618","0.430","0.904"
Alopias superciliosus,Bigeye thresher,Alopiidae,pelagic,species,"6.7","1.9","34.8","0.696","0.174","2.034","0.371","0.150","0.897","20.5","18.1","22.8","35.9","11.2","103.6","6.18","2.01","19.71","0.32","0.16","0.59"
Alopias vulpinus,Thresher,Alopiidae,pelagic,species,"6.93","1.98","35.15","0.726","0.178","2.143","0.379","0.152","0.923","20.7","18.3","23.1","37.8","10.7","110.5","4.78","1.56","14.81","0.28","0.14","0.52"
Alphestes afer,Mutton hamlet,Epinephelidae,pelagic,species,"47.5","29.1","84.8","0.557","0.308","0.928","0.143","0.097","0.216","18.5","16.7","20.1","27.2","17.3","47.4","106","38","322","1.22","0.86","1.71"
Aluterus monoceros,Unicorn leatherjacket filefish,Monacanthidae,benthic,species,"13.9","5.6","53.9","0.487","0.214","1.238","0.154","0.071","0.304","19.3","17.1","21.4","21.9","8.3","50.9","23.4","6.0","98.0","0.522","0.321","0.882"
Aluterus schoepfii,Orange filefish,Monacanthidae,pelagic,species,"15.4","5.5","43.4","0.54","0.24","1.41","0.159","0.065","0.358","18.3","15.9","20.5","37","14","102","20.1","3.6","108.2","0.785","0.452","1.359"
Aluterus scriptus,Scribbled leatherjacket filefish,Monacanthidae,benthic,species,"11","4","33","0.455","0.208","1.128","0.127","0.055","0.272","18.8","16.5","21.0","28.5","9.5","68.4","18.5","4.0","84.0","0.626","0.387","1.062"
Amblycirrhitus pinos,Redspotted hawkfish,Cirrhitidae,benthic,species,"109","62","186","0.799","0.499","1.253","0.162","0.102","0.255","18.6","17.6","19.6","25.6","13.6","44.7","161","56","466","2.13","1.49","2.92"
Amphichthys cryptocentrus,Bocon toadfish,Batrachoididae,benthic,species,"44.5","24.7","81.6","0.492","0.297","0.979","0.108","0.064","0.188","18","17","19","38.2","20.3","75.6","99.4","33.8","276.0","1.17","0.82","1.61"
Anarchias similis,Pygmy moray,Muraenidae,benthic,family,"70.9","39.1","148.9","0.63","0.37","1.20","0.162","0.070","0.501","18.5","16.2","21.1","41.3","21.3","91.0","111","31","369","1.24","0.85","1.76"
Anarchopterus criniger,Fringed pipefish,Syngnathidae,benthic,family,"518","261","1,255","2.46","1.33","4.43","0.202","0.095","0.411","16.9","15.7","18.0","63.6","27.7","150.5","28.1","8.7","89.3","2.11","1.38","3.13"
Anchoa hepsetus,Broad-striped anchovy,Engraulidae,benthic,species,"187","107","388","1.73","0.91","3.05","0.514","0.268","0.972","18.1","15.8","20.8","20.3","9.1","47.5","11.2","3.4","32.7","1.4","1.0","2.1"
Anchoa lyolepis,Shortfinger anchovy,Engraulidae,pelagic,species,"83.4","39.7","204.2","1.02","0.47","2.06","0.27","0.13","0.57","18.2","15.7","21.0","16.2","6.8","43.7","60.6","16.0","222.5","1.11","0.67","1.83"
Anchoa marinii,Marini's anchovy,Engraulidae,pelagic,species,"215","131","529","2.15","1.12","4.01","0.417","0.222","0.832","17.8","15.5","20.6","17","7","40","17.7","4.6","59.5","1.2","0.8","1.8"
Anchoa pectoralis,Bigfin anchovy,Engraulidae,pelagic,genus,"544","282","1,400","2.63","1.41","4.91","0.327","0.152","0.686","17.1","14.8","19.8","33.6","14.2","83.5","34.9","10.4","96.6","2.93","1.91","4.41"
Anchoa spinifer,Spicule anchovy,Engraulidae,pelagic,species,"188","109","440","1.38","0.74","2.46","0.338","0.163","0.725","17.8","15.4","20.5","40.5","18.0","103.2","19.3","5.6","54.8","1.51","1.04","2.18"
Anchovia clupeoides,Zabaleta anchovy,Engraulidae,pelagic,species,"127","64","285","1.09","0.58","2.01","0.405","0.204","0.884","18.1","16.6","19.7","53.2","27.5","113.0","34.3","8.5","97.2","1.5","1.0","2.2"
Anchoviella lepidentostole,Broadband anchovy,Engraulidae,pelagic,species,"273","153","637","1.9","1.1","3.4","0.306","0.154","0.612","18.3","16.9","19.7","41.1","18.3","94.0","27.4","8.1","73.8","2.03","1.39","3.01"
Anguilla anguilla,European eel,Anguillidae,benthic,species,"18.9","11.6","32.9","0.267","0.167","0.425","0.664","0.388","1.169","19","17","21","27.5","14.5","50.8","10.3","2.3","48.5","0.507","0.371","0.705"
Anguilla japonica,Japanese eel,Anguillidae,benthic,species,"32.7","19.9","65.7","0.741","0.434","1.157","0.35","0.19","0.67","19.5","17.7","21.4","55.1","28.6","103.5","8.74","1.85","42.36","0.685","0.498","0.991"
Anisotremus surinamensis,Black margate,Haemulidae,benthic,species,"14.9","7.1","40.1","0.467","0.224","0.919","0.127","0.058","0.254","19.7","17.8","21.7","15.5","6.5","32.4","26.1","7.0","98.0","0.585","0.354","0.950"
Anisotremus virginicus,Porkfish,Haemulidae,benthic,species,"22.6","10.1","62.8","0.538","0.258","1.056","0.144","0.066","0.285","19.6","17.7","21.7","13.1","5.8","27.3","35.1","9.5","131.4","0.673","0.404","1.106"
Anodus elongatus,,Hemiodontidae,pelagic,species,"130","57","310","2.01","1.04","4.60","0.36","0.14","0.90","18.4","16.3","20.7","57.5","22.7","164.4","64.4","24.2","166.3","1.77","1.23","2.53"
Anoplogaster cornuta,Common fangtooth,Anoplogastridae,pelagic,species,"13.2","3.4","61.5","0.429","0.123","1.367","0.221","0.068","0.720","3","0","7","16.7","4.6","69.5","19.9","2.3","169.1","0.384","0.161","0.991"
Antennarius multiocellatus,Longlure frogfish,Antennariidae,benthic,species,"33.2","14.6","80.1","0.619","0.309","1.196","0.182","0.066","0.484","19.5","17.0","22.7","12.3","4.9","32.9","114","27","508","0.686","0.399","1.116"
Antennarius striatus,Striated frogfish,Antennariidae,pelagic,species,"26.8","11.8","72.2","0.576","0.292","1.139","0.214","0.076","0.560","19.7","17.1","23.0","15.7","6.2","38.7","88.5","18.8","404.0","0.736","0.437","1.191"
Antigonia capros,Deepbody boarfish,Antigoniidae,benthic,species,"97.8","49.0","215.6","0.856","0.474","1.596","0.241","0.128","0.461","17.7","16.5","18.9","79.8","35.9","189.1","24.1","6.4","103.4","0.987","0.649","1.481"
Antimora rostrata,Blue antimora,Moridae,benthic,species,"19.8","5.7","48.2","0.264","0.114","0.738","0.114","0.044","0.291","17.6","15.8","19.4","25.8","8.1","70.4","19.4","2.2","160.1","0.507","0.276","1.026"
Aphanopus carbo,Black scabbardfish,Trichiuridae,pelagic,species,"11.6","6.0","18.7","0.192","0.097","0.400","0.161","0.071","0.370","17.4","16.1","18.7","34.7","15.7","77.9","15.8","1.6","130.4","0.391","0.267","0.539"
Apogon maculatus,Flamefish,Apogonidae,pelagic,species,"121","76","223","1.1","0.7","1.8","0.185","0.108","0.308","18.8","17.6","19.8","38.1","20.4","70.8","132","51","349","1.74","1.18","2.40"
Apogon planifrons,Pale cardinalfish,Apogonidae,benthic,genus,"129","80","223","0.942","0.582","1.462","0.168","0.106","0.262","19","18","20","26.6","15.0","47.4","101","38","274","1.88","1.30","2.60"
Apogon pseudomaculatus,Twospot cardinalfish,Apogonidae,pelagic,species,"127","80","237","1.13","0.71","1.81","0.181","0.106","0.300","18.8","17.7","19.8","36.1","19.7","68.4","125","49","337","1.75","1.20","2.42"
Apogon quadrisquamatus,Sawcheek cardinalfish,Apogonidae,pelagic,species,"185","110","426","1.5","0.8","2.6","0.18","0.09","0.37","18.6","17.4","19.8","41.1","17.8","90.1","117","39","359","2.45","1.55","3.60"
Arapaima gigas,Arapaima,Arapaimidae,pelagic,species,"29.9","16.6","81.3","1.02","0.53","2.23","0.387","0.140","1.140","16","14","18","140","45","346","15.6","3.9","64.9","0.648","0.415","1.065"
Archosargus probatocephalus,Sheepshead,Sparidae,benthic,species,"24.1","9.8","46.1","0.562","0.283","1.069","0.215","0.123","0.398","21","20","22","16.3","7.4","32.4","22.3","6.2","82.3","0.703","0.460","1.099"
Archosargus rhomboidalis,Western Atlantic seabream,Sparidae,benthic,species,"67.7","24.2","130.8","1.06","0.47","2.36","0.187","0.084","0.425","20.3","18.8","21.8","24.2","8.6","62.8","9.19","1.53","59.55","1.08","0.60","1.89"
Arctozenus risso,Spotted barracudina,Paralepididae,pelagic,species,"49.9","16.8","160.1","0.548","0.182","1.750","0.105","0.029","0.325","15.6","12.5","18.2","27.5","7.9","78.4","14.2","1.6","119.9","0.615","0.321","1.262"
Argyropelecus hemigymnus,Half-naked hatchetfish,Sternoptychidae,benthic,species,"53","14","266","0.636","0.179","2.130","0.273","0.071","1.024","2.42","0.00","6.40","9.22","2.53","44.10","33.7","3.6","314.7","0.916","0.368","2.357"
Ariomma bondi,Silver-rag driftfish,Ariommatidae,benthic,species,"116","65","221","1.35","0.82","2.33","0.484","0.301","0.780","20.8","18.8","22.5","39.2","19.5","72.1","9.17","3.11","27.94","0.738","0.524","1.075"
Ariosoma balearicum,Bandtooth conger,Congridae,pelagic,genus,"32.7","16.0","73.2","0.664","0.352","1.209","0.249","0.100","0.777","19.1","16.0","22.1","28.6","13.0","65.2","68.3","19.0","244.3","0.641","0.408","0.991"
Astrapogon puncticulatus,Blackfin cardinalfish,Apogonidae,benthic,genus,"173","101","344","1.1","0.6","1.8","0.153","0.087","0.273","19.1","18.0","20.1","21.7","10.6","42.8","105","35","317","2.25","1.47","3.30"
Astrapogon stellatus,Conchfish,Apogonidae,benthic,species,"157","94","300","1.09","0.64","1.75","0.177","0.105","0.300","18.9","17.9","20.0","30.2","15.5","56.9","99.3","34.8","288.1","2.17","1.45","3.08"
Astronotus ocellatus,Oscar,Cichlidae,benthic,species,"85.3","39.6","151.5","1.15","0.64","2.32","0.318","0.117","0.926","17.9","16.4","19.4","85.4","31.6","191.3","25.4","6.6","80.9","1.63","1.06","2.47"
Atherinomorus stipes,Hardhead silverside,Atherinidae,benthic,species,"74.6","30.4","207.3","0.72","0.36","1.36","0.229","0.097","0.578","20.3","18.0","22.6","9.05","3.59","22.93","106","31","377","1.51","0.88","2.41"
Aulostomus maculatus,Trumpetfish,Aulostomidae,pelagic,species,"28.8","13.8","63.0","0.768","0.366","1.504","0.14","0.07","0.30","19.4","18.1","20.6","27","12","64","21.3","6.3","79.5","0.571","0.345","0.951"
Aulostomus strigosus,Atlantic cornetfish,Aulostomidae,pelagic,species,"150","84","327","1.56","0.85","2.71","0.154","0.077","0.299","17.8","16.6","18.9","84.3","40.1","191.3","11.2","3.8","32.7","0.96","0.64","1.42"
Auxis rochei,Bullet tuna,Scombridae,pelagic,species,"198","57","462","2.28","0.85","5.87","0.364","0.173","0.759","21.7","19.6","23.6","49.2","18.5","153.0","32.7","6.9","148.1","1.46","0.47","2.70"
Auxis thazard,Frigate tuna,Scombridae,pelagic,species,"200","57","445","2.61","0.96","6.35","0.324","0.153","0.683","21.6","19.6","23.5","65.1","25.8","204.4","21.9","4.9","83.8","1.2","0.4","2.2"
Awaous tajasica,Sand fish,Gobiidae,benthic,species,"103","46","491","0.696","0.253","2.276","0.189","0.077","0.397","17.7","15.3","19.9","68.8","32.3","187.6","26.4","7.5","80.1","2","1","3"
Azurina multilineata,Brown chromis,Pomacentridae,pelagic,species,"46.6","20.8","84.9","0.752","0.445","1.242","0.222","0.129","0.370","19.3","18.2","20.3","12.8","6.4","25.7","106","35","310","1.01","0.65","1.50"
Bagre bagre,Coco sea catfish,Ariidae,pelagic,species,"106","57","219","0.914","0.586","1.493","0.175","0.100","0.301","17","15","19","57.3","30.7","116.6","21.3","9.5","48.1","1.21","0.83","1.82"
Bagre marinus,Gafftopsail sea catfish,Ariidae,benthic,species,"61.8","31.7","152.9","0.914","0.564","1.529","0.239","0.137","0.409","17.6","16.0","19.4","29.5","15.8","59.0","10.4","4.4","24.8","0.855","0.571","1.300"
Bairdiella ronchus,Ground croaker,Sciaenidae,benthic,species,"168","99","321","1.12","0.60","1.93","0.235","0.126","0.390","19.1","18.0","20.2","46.5","25.7","87.2","19.5","7.8","52.5","1.39","1.02","1.97"
Balistes capriscus,Grey triggerfish,Balistidae,benthic,species,"17.4","6.5","68.9","0.507","0.242","1.275","0.212","0.146","0.316","19.7","18.6","20.8","21.2","8.9","47.8","25","6","111","0.5","0.3","0.8"
Balistes vetula,Queen triggerfish,Balistidae,benthic,species,"26.5","11.1","71.0","0.509","0.261","1.159","0.147","0.086","0.260","18.8","17.5","20.0","55.9","27.7","119.1","38.8","10.7","149.4","0.768","0.513","1.158"
Barbulifer ceuthoecus,Bearded goby,Gobiidae,benthic,family,"377","175","1,115","1.68","0.75","3.60","0.142","0.050","0.385","18.3","16.2","20.1","21.8","7.7","57.9","108","23","491","4.07","2.26","6.76"
Bassanago albescens,Hairy conger,Congridae,benthic,species,"17.4","10.2","36.2","0.366","0.194","0.688","0.342","0.144","0.925","17.5","13.8","20.3","30.2","13.0","69.5","6.73","1.30","33.79","0.307","0.208","0.454"
Bathophilus nigerrimus,Scaleless dragonfish,Stomiidae,pelagic,genus,"35","9","154","0.496","0.151","1.617","0.21","0.06","0.75","2.86","0.00","6.80","9.05","2.38","36.93","67.2","8.4","536.9","0.6","0.3","1.5"
Bathygobius soporator,Frillfin goby,Gobiidae,benthic,species,"251","122","542","1.21","0.69","2.19","0.243","0.103","0.481","18.2","16.4","19.7","27.7","13.8","58.9","37.8","11.6","106.2","1.81","1.25","2.68"
Bathyraja schroederi,Whitemouth skate,Arhynchobatidae,benthic,genus,"5.07","1.04","28.48","0.262","0.063","0.885","0.531","0.170","2.131","15.5","12.9","18.0","17.6","4.9","59.1","10.7","2.1","56.9","0.333","0.158","0.649"
Bathysaurus ferox,Deep-sea lizardfish,Bathysauridae,pelagic,species,"27","12","76","0.478","0.175","1.036","0.241","0.074","0.627","15.1","12.1","17.4","27","9","65","13.3","2.4","63.5","0.329","0.202","0.522"
Bathytoshia centroura,Roughtail stingray,Dasyatidae,benthic,species,"12","2","54","0.627","0.158","1.732","0.272","0.080","0.798","23","20","26","34.5","9.9","96.0","3.84","1.53","9.51","0.47","0.24","0.84"
Batrachoides surinamensis,Pacuma toadfish,Batrachoididae,benthic,species,"102","53","175","0.946","0.603","1.455","0.26","0.15","0.46","18","17","19","48","27","94","22","9","54","1.29","0.98","1.75"
Bembrops heterurus,Squaretail duckbill,Bembropidae,pelagic,species,"39.5","22.6","86.9","0.449","0.208","0.883","0.278","0.133","0.571","17.6","16.5","18.5","15.6","6.0","36.2","13.8","2.9","63.8","0.446","0.301","0.661"
Benthalbella infans,Zugmayer's pearleye,Scopelarchidae,pelagic,species,"31.5","10.4","97.5","0.365","0.125","1.153","0.132","0.035","0.409","15.9","12.8","18.4","21.6","6.4","62.0","34.2","3.7","277.6","0.429","0.228","0.850"
Benthocometes robustus,,Ophidiidae,pelagic,species,"41.3","10.1","166.6","0.77","0.27","1.99","0.348","0.130","0.979","15.3","12.7","17.9","13.2","3.2","47.7","17.5","3.5","89.1","0.55","0.28","1.13"
Benthodesmus elongatus,Elongate frostfish,Trichiuridae,pelagic,species,"14.8","6.8","30.5","0.302","0.138","0.677","0.232","0.105","0.515","16.7","15.0","18.3","27.2","10.9","72.9","15.2","2.6","81.5","0.362","0.223","0.599"
Benthodesmus tenuis,Slender frostfish,Trichiuridae,pelagic,genus,"11.4","5.0","23.9","0.299","0.139","0.683","0.221","0.102","0.516","17.2","15.5","18.9","36","14","94","6.53","1.10","34.95","0.244","0.155","0.404"
Bodianus pulchellus,Spotfin hogfish,Labridae,benthic,species,"51.3","31.4","83.6","0.59","0.35","1.05","0.163","0.110","0.242","18.5","15.7","20.7","34.9","21.8","58.1","113","37","414","1.33","0.95","2.04"
Bodianus rufus,Spanish hogfish,Labridae,benthic,species,"41.9","26.0","67.6","0.542","0.325","0.951","0.146","0.100","0.213","18.6","15.8","20.8","33.5","21.2","55.4","101","33","355","1.23","0.89","1.86"
Bothus lunatus,Plate fish,Bothidae,benthic,species,"36.4","14.1","67.1","0.475","0.216","0.877","0.0843","null","null","18.3","16.8","19.9","35.7","17.0","81.7","109","26","452","0.739","0.471","1.122"
Bothus ocellatus,Eyed flounder,Bothidae,benthic,species,"69.1","27.1","143.8","0.55","0.25","0.99","0.0959","null","null","18.2","16.6","19.7","31.4","15.8","67.5","93","24","391","1.11","0.73","1.64"
Brachygenys chrysargyreum,Smallmouth grunt,Haemulidae,benthic,species,"38.9","12.6","93.9","0.663","0.320","1.275","0.212","0.102","0.399","20","18","22","11.4","5.5","23.4","63.1","22.3","190.6","0.924","0.578","1.502"
Brachyhypopomus brevirostris,Bluntnose knifefish,Hypopomidae,benthic,family,"124","52","236","1.1","0.6","2.0","0.235","0.089","0.619","17.4","16.2","18.6","42.2","16.7","97.1","62.3","20.7","164.9","1.91","1.31","2.77"
Brachyplatystoma rousseauxii,Zungaro dorado,Pimelodidae,pelagic,species,"59.1","23.4","127.3","1.35","0.70","2.69","0.234","0.093","0.570","17.6","16.3","19.1","99.9","40.4","227.8","18.6","6.3","56.4","0.833","0.553","1.242"
Brachyplatystoma vaillantii,Laulao catfish,Pimelodidae,pelagic,species,"63.2","30.7","128.1","0.903","0.480","1.814","0.13","0.07","0.24","17.1","15.8","18.6","51.3","25.7","120.9","19.3","7.2","52.2","0.798","0.552","1.166"
Brama brama,Atlantic pomfret,Bramidae,benthic,species,"14","5","56","0.476","0.182","1.625","0.322","0.177","0.578","20","18","22","41.9","19.0","86.8","11.8","2.8","48.3","0.397","0.210","0.866"
Brevoortia aurea,Brazilian menhaden,Alosidae,pelagic,species,"112","63","192","1.62","0.89","2.74","0.536","0.326","0.892","19.5","18.3","20.6","21","11","42","10.8","3.5","29.5","0.996","0.692","1.440"
Brevoortia pectinata,Argentine menhaden,Alosidae,pelagic,species,"99.3","63.8","168.4","1.64","1.01","2.67","0.606","0.372","0.952","19.7","18.7","20.8","18","10","33","19","8","45","0.975","0.706","1.354"
Brockius nigricinctus,Spotcheek blenny,Labrisomidae,benthic,genus,"94.9","35.3","202.7","0.757","0.383","1.471","0.144","0.069","0.295","19","18","20","8.9","3.3","23.3","120","32","474","1.5","0.8","2.4"
Brotula barbata,Bearded brotula,Ophidiidae,benthic,genus,"16.9","8.3","42.6","0.451","0.245","0.908","0.183","0.095","0.343","17.8","15.3","20.4","36.5","17.0","76.8","28.2","8.7","94.9","0.568","0.373","0.874"
Brycon cephalus,,Bryconidae,benthic,species,"69.9","27.3","175.3","1.38","0.63","2.87","0.536","0.181","1.532","18.3","16.3","20.1","168","58","429","31.2","9.6","93.3","2.08","1.34","3.25"
Brycon hilarii,,Bryconidae,benthic,species,"61.3","24.4","151.7","1.3","0.6","2.7","0.524","0.179","1.484","18.4","16.4","20.2","173","59","435","28.1","8.4","83.0","1.87","1.21","2.90"
Brycon orbignyanus,,Bryconidae,benthic,genus,"45.9","18.4","105.6","1.1","0.5","2.4","0.546","0.195","1.498","18.8","16.8","20.6","173","65","402","28.2","10.1","72.8","1.43","0.96","2.13"
Calamus bajonado,Jolthead porgy,Sparidae,benthic,species,"18.2","7.6","38.0","0.493","0.250","1.048","0.176","0.096","0.330","20","19","21","23.3","10.6","48.9","22.5","5.2","98.7","0.56","0.34","0.85"
Calamus calamus,Saucereye porgy,Sparidae,benthic,species,"22.6","9.6","46.7","0.517","0.263","1.088","0.167","0.095","0.304","20","19","21","17.5","7.7","36.4","29","7","124","0.63","0.39","0.96"
Calamus penna,Sheepshead porgy,Sparidae,benthic,species,"49.3","19.5","92.7","0.609","0.292","1.179","0.139","0.076","0.257","19.9","18.5","21.3","38.3","18.2","78.6","39.5","9.9","156.5","0.746","0.457","1.141"
Calamus pennatula,Pluma porgy,Sparidae,benthic,species,"45.5","21.0","91.8","0.561","0.298","1.114","0.124","0.075","0.208","19.3","18.0","20.7","33.9","17.7","64.2","58.9","14.9","219.9","0.977","0.631","1.411"
Callionymus bairdi,Lancer dragonet,Callionymidae,benthic,genus,"128","66","198","0.774","0.473","1.287","0.112","0.066","0.193","18.3","17.2","19.3","33.9","16.8","70.3","109","35","327","1.85","1.25","2.59"
Callorhinchus callorynchus,Plownose chimaera,Callorhinchidae,benthic,species,"36.4","9.4","104.6","0.898","0.331","3.776","0.238","0.103","0.526","14","11","18","28.6","5.8","75.6","7.6","2.6","20.9","0.617","0.320","1.178"
Calophysus macropterus,Zamurito,Pimelodidae,benthic,species,"131","53","288","1.52","0.82","3.07","0.295","0.126","0.692","16.8","15.6","18.2","77.4","35.5","201.7","29.3","12.3","65.9","1.61","1.15","2.27"
Cantherhines macrocerus,American whitespotted filefish,Monacanthidae,benthic,species,"22.3","6.6","67.0","0.715","0.250","1.955","0.0721","null","null","18.2","16.0","20.3","47.6","18.4","133.5","49.5","13.6","175.9","1.55","0.70","2.75"
Cantherhines pullus,Orangespotted filefish,Monacanthidae,benthic,species,"26.9","4.9","86.5","0.924","0.313","2.627","0.125","0.057","0.285","18.6","16.3","20.8","20.4","7.1","61.8","37.8","8.8","168.8","1.4","0.6","2.5"
Canthidermis sufflamen,Ocean triggerfish,Balistidae,benthic,species,"30","12","74","0.543","0.277","1.212","0.108","0.055","0.213","18.7","16.5","20.8","43.9","22.5","93.4","33.3","9.5","119.4","0.822","0.559","1.238"
Canthigaster figueiredoi,Southern Atlantic sharpnose-puffer,Tetraodontidae,benthic,species,"107","49","256","1","0","2","0.127","0.061","0.255","18.1","15.9","20.3","35.6","16.9","79.5","49.6","13.6","189.5","1.69","1.08","2.55"
Canthigaster rostrata,Caribbean sharpnose-puffer,Tetraodontidae,benthic,species,"102","47","253","0.966","0.474","2.280","0.133","0.065","0.262","18.2","16.0","20.4","35.1","17.1","79.4","52.6","14.7","200.9","1.59","1.01","2.41"
Caranx bartholomaei,Yellow jack,Carangidae,pelagic,species,"13.7","6.4","31.7","1.1","0.5","2.4","0.229","0.121","0.445","21","18","23","4.57","2.11","11.39","44.3","8.2","283.5","0.351","0.180","0.796"
